Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Voltage (V)	Tolerance	Temperature Coefficent	Price											
C	9.000000e-010	1.000000e-009	1.100000e-009	-1.000000e-001	1.000000e-001	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B102KP2NNNC.pdf	1276-1215-1-ND	CL02B102KP2NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.10000	~									
C	7.250000e-012	7.500000e-012	7.750000e-012	-2.500000e-013	2.500000e-013	0	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C7R5CO2ANNC.pdf	1276-1231-1-ND	CL02C7R5CO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	7.950000e-012	8.200000e-012	8.450000e-012	-2.500000e-013	2.500000e-013	0	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C8R2CO2ANNC.pdf	1276-1233-1-ND	CL02C8R2CO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C100JO2ANNC.pdf	1276-1220-1-ND	CL02C100JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.10000	~									
C	4.200000e-012	4.300000e-012	4.400000e-012	-1.000000e-013	1.000000e-013	0	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C4R3BO2ANNC.pdf	1276-1229-1-ND	CL02C4R3BO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±0.1pF	-55°C ~ 125°C	0.10000	~									
C	3.705000e-011	3.900000e-011	4.095000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C390JO2ANNC.pdf	1276-1227-1-ND	CL02C390JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	9.500000e-011	1.000000e-010	1.050000e-010	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C101JQ2ANNC.pdf	1276-1221-1-ND	CL02C101JQ2ANNC	Samsung Electro-Mechanics America, Inc	nan	6.3V	±5%	-55°C ~ 125°C	0.24000	~									
C	1.710000e-011	1.800000e-011	1.890000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C180JO2ANNC.pdf	1276-1223-1-ND	CL02C180JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	2.565000e-011	2.700000e-011	2.835000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C270JO2ANNC.pdf	1276-1225-1-ND	CL02C270JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	3.135000e-011	3.300000e-011	3.465000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C330JO2ANNC.pdf	1276-1226-1-ND	CL02C330JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	4.465000e-011	4.700000e-011	4.935000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C470JO2ANNC.pdf	1276-1228-1-ND	CL02C470JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	5.320000e-011	5.600000e-011	5.880000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C560JQ2ANNC.pdf	1276-1230-1-ND	CL02C560JQ2ANNC	Samsung Electro-Mechanics America, Inc	nan	6.3V	±5%	-55°C ~ 125°C	0.24000	~									
C	7.790000e-011	8.200000e-011	8.610000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C820JQ2ANNC.pdf	1276-1232-1-ND	CL02C820JQ2ANNC	Samsung Electro-Mechanics America, Inc	nan	6.3V	±5%	-55°C ~ 125°C	0.24000	~									
C	1.980000e-010	2.200000e-010	2.420000e-010	-1.000000e-001	1.000000e-001	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B221KP2NNNC.pdf	1276-1218-1-ND	CL02B221KP2NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.27000	~									
C	1.425000e-011	1.500000e-011	1.575000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C150JO2ANNC.pdf	1276-1222-1-ND	CL02C150JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.28000	~									
C	2.970000e-010	3.300000e-010	3.630000e-010	-1.000000e-001	1.000000e-001	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B331KP2NNNC.pdf	1276-1219-1-ND	CL02B331KP2NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.29000	~									
C	2.090000e-011	2.200000e-011	2.310000e-011	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02C220JO2ANNC.pdf	1276-1224-1-ND	CL02C220JO2ANNC	Samsung Electro-Mechanics America, Inc	nan	16V	±5%	-55°C ~ 125°C	0.24000	~									
C	1.080000e-010	1.200000e-010	1.320000e-010	-1.000000e-001	1.000000e-001	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B121KP2NNNC.pdf	1276-1216-1-ND	CL02B121KP2NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	Call	~									
C	1.350000e-010	1.500000e-010	1.650000e-010	-1.000000e-001	1.000000e-001	2	01005 (0402 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL02B151KP2NNNC.pdf	1276-1217-1-ND	CL02B151KP2NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	Call	~									
C	9.500000e-012	1.000000e-011	1.050000e-011	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C100JA3GNNC.pdf	1276-1384-1-ND	CL03C100JA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±5%	-55°C ~ 125°C	0.10000	~									
C	9.000000e-009	1.000000e-008	1.100000e-008	-1.000000e-001	1.000000e-001	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03B103KP3NNNC.pdf	1276-1152-1-ND	CL03B103KP3NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.750000e-012	3.000000e-012	3.250000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C030CA3GNNC.pdf	1276-1366-1-ND	CL03C030CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	1.950000e-012	2.200000e-012	2.450000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C2R2CA3GNNC.pdf	1276-1404-1-ND	CL03C2R2CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	1.140000e-011	1.200000e-011	1.260000e-011	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C120JA3ANNC.pdf	1276-1387-1-ND	CL03C120JA3ANNC	Samsung Electro-Mechanics America, Inc	nan	25V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.140000e-011	1.200000e-011	1.260000e-011	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C120JA3GNNC.pdf	1276-1388-1-ND	CL03C120JA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±5%	-55°C ~ 125°C	0.10000	~									
C	3.135000e-011	3.300000e-011	3.465000e-011	-5.000000e-002	5.000000e-002	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C330JA3ANNC.pdf	1276-1409-1-ND	CL03C330JA3ANNC	Samsung Electro-Mechanics America, Inc	nan	25V	±5%	-55°C ~ 125°C	0.10000	~									
C	1.350000e-010	1.500000e-010	1.650000e-010	-1.000000e-001	1.000000e-001	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03B151KO3NNNC.pdf	1276-1345-1-ND	CL03B151KO3NNNC	Samsung Electro-Mechanics America, Inc	nan	16V	±10%	-55°C ~ 125°C	0.10000	~									
C	2.970000e-010	3.300000e-010	3.630000e-010	-1.000000e-001	1.000000e-001	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03B331KA3NNNC.pdf	1276-1351-1-ND	CL03B331KA3NNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±10%	-55°C ~ 125°C	0.10000	~									
C	4.230000e-009	4.700000e-009	5.170000e-009	-1.000000e-001	1.000000e-001	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03B472KP3NNNC.pdf	1276-1355-1-ND	CL03B472KP3NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.10000	~									
C	6.120000e-009	6.800000e-009	7.480000e-009	-1.000000e-001	1.000000e-001	2	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03B682KP3NNNC.pdf	1276-1358-1-ND	CL03B682KP3NNNC	Samsung Electro-Mechanics America, Inc	nan	10V	±10%	-55°C ~ 125°C	0.10000	~									
C	1.550000e-012	1.800000e-012	2.050000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C1R8CA3GNNC.pdf	1276-1400-1-ND	CL03C1R8CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	3.350000e-012	3.600000e-012	3.850000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C3R6CA3GNNC.pdf	1276-1414-1-ND	CL03C3R6CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	3.650000e-012	3.900000e-012	4.150000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C3R9CA3GNNC.pdf	1276-1417-1-ND	CL03C3R9CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
C	2.000000e-013	3.000000e-013	4.000000e-013	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C0R3BA3GNNC.pdf	1276-1375-1-ND	CL03C0R3BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.10000	~									
C	1.200000e-012	1.300000e-012	1.400000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C1R3BA3GNNC.pdf	1276-1394-1-ND	CL03C1R3BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.10000	~									
C	1.500000e-012	1.600000e-012	1.700000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C1R6BA3GNNC.pdf	1276-1397-1-ND	CL03C1R6BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.10000	~									
C	5.000000e-012	5.100000e-012	5.200000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C5R1BA3GNNC.pdf	1276-1424-1-ND	CL03C5R1BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.10000	~									
C	1.100000e-012	1.200000e-012	1.300000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C1R2BA3GNNC.pdf	1276-1392-1-ND	CL03C1R2BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.41000	~									
C	6.700000e-012	6.800000e-012	6.900000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C6R8BA3GNNC.pdf	1276-1430-1-ND	CL03C6R8BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.41000	~									
C	8.100000e-012	8.200000e-012	8.300000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C8R2BA3GNNC.pdf	1276-1435-1-ND	CL03C8R2BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.41000	~									
C	4.000000e-013	5.000000e-013	6.000000e-013	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C0R5BA3GNNC.pdf	1276-1377-1-ND	CL03C0R5BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.48000	~									
C	1.400000e-012	1.500000e-012	1.600000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C1R5BA3GNNC.pdf	1276-1395-1-ND	CL03C1R5BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.48000	~									
C	2.100000e-012	2.200000e-012	2.300000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C2R2BA3GNNC.pdf	1276-1403-1-ND	CL03C2R2BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.48000	~									
C	3.200000e-012	3.300000e-012	3.400000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C3R3BA3GNNC.pdf	1276-1411-1-ND	CL03C3R3BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.48000	~									
C	3.800000e-012	3.900000e-012	4.000000e-012	-1.000000e-013	1.000000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C3R9BA3GNNC.pdf	1276-1416-1-ND	CL03C3R9BA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.1pF	-55°C ~ 125°C	0.48000	~									
C	8.850000e-012	9.100000e-012	9.350000e-012	-2.500000e-013	2.500000e-013	0	0201 (0603 Metric)	http://www.samsungsem.com/servlet/FileDownload?type=spec&file=CL03C9R1CA3GNNC.pdf	1276-1438-1-ND	CL03C9R1CA3GNNC	Samsung Electro-Mechanics America, Inc	nan	25V	±0.25pF	-55°C ~ 125°C	0.10000	~									
