"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Capacitance","Voltage - Rated","Tolerance","Temperature Coefficient","Mounting Type","Operating Temperature","Applications","Ratings","Package / Case","Size / Dimension","Height - Seated (Max)","Thickness (Max)","Lead Spacing","Features"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8083-1-ND","CGJ2B2X7R1C102K050BA","TDK Corporation","CAP CER 1000PF 16V 10% X7R 0402",58876,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","1000pF","16V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8068-1-ND","CGJ2B2X7R1H222K050BA","TDK Corporation","CAP CER 2200PF 50V 10% X7R 0402",46804,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","2200pF","50V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8088-1-ND","CGJ2B2X7R1C682K050BA","TDK Corporation","CAP CER 6800PF 16V 10% X7R 0402",35140,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","6800pF","16V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8074-1-ND","CGJ2B2X7R1E222K050BA","TDK Corporation","CAP CER 2200PF 25V 10% X7R 0402",38053,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","2200pF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8075-1-ND","CGJ2B2X7R1E332K050BA","TDK Corporation","CAP CER 3300PF 25V 10% X7R 0402",36368,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","3300pF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8085-1-ND","CGJ2B2X7R1C222K050BA","TDK Corporation","CAP CER 2200PF 16V 10% X7R 0402",24358,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","2200pF","16V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8076-1-ND","CGJ2B2X7R1E472K050BA","TDK Corporation","CAP CER 4700PF 25V 10% X7R 0402",23809,0,"0.14000",1,1,"Cut Tape (CT)","CGJ","4700pF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8090-1-ND","CGJ2B2X7R1C153K050BA","TDK Corporation","CAP CER 0.015UF 16V 10% X7R 0402",30357,0,"0.17000",1,1,"Cut Tape (CT)","CGJ","0.015µF","16V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8053-1-ND","CGJ2B2C0G1H101J050BA","TDK Corporation","CAP CER 100PF 50V 5% NP0 0402",23205,0,"0.17000",1,1,"Cut Tape (CT)","CGJ","100pF","50V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-8078-1-ND","CGJ2B2X7R1E103K050BA","TDK Corporation","CAP CER 10000PF 25V 10% X7R 0402",17523,0,"0.17000",1,1,"Cut Tape (CT)","CGJ","10000pF","25V","±10%","X7R","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.022"" (0.55mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-13285-1-ND","CGJ2B2C0G1H100D050BA","TDK Corporation","CAP CER 10PF 50V NP0 0402",19800,0,"0.17000",1,1,"Cut Tape (CT)","CGJ","10pF","50V","±0.5pF","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.020"" (0.50mm)","-","-"
"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc_highreliability_general_en.pdf","http://media.digikey.com/Renders/TDK%20Renders/X7R-0402.jpg","445-13290-1-ND","CGJ2B2C0G1H220J050BA","TDK Corporation","CAP CER 22PF 50V 5% NP0 0402",17773,0,"0.17000",1,1,"Cut Tape (CT)","CGJ","22pF","50V","±5%","C0G, NP0","Surface Mount, MLCC","-55°C ~ 125°C","High Reliability","-","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","-","0.020"" (0.50mm)","-","-"
