Name	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	ESR (ohm)	Load Capacitance	Tolerance	Operation Mode	Temperature (lower case)	Temperature (upper case)	Price							
X	3.276734e+004	3.276800e+004	3.276866e+004	-2.000000e-005	2.000000e-005	3	Cylindrical Can, Radial	http://www.ecsxtal.com/store/pdf/ECS-3x8.pdf	X801-ND	ECS-3X8	ECS Inc	3.500000e+004	1.250000e-011	±20ppm	Fundamental	-1.000000e+001	6.000000e+001	0.33000							
X	3.276734e+004	3.276800e+004	3.276866e+004	-2.000000e-005	2.000000e-005	3	Cylindrical Can, Radial	http://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf	X1123-ND	ECS-3X8X	ECS Inc	3.500000e+004	1.250000e-011	±20ppm	Fundamental	-1.000000e+001	6.000000e+001	0.33000							
X	3.276734e+004	3.276800e+004	3.276866e+004	-2.000000e-005	2.000000e-005	3	Cylindrical Can, Radial	http://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf	X1124-ND	ECS-.327-12.5-13X	ECS Inc	3.500000e+004	1.250000e-011	±20ppm	Fundamental	-1.000000e+001	6.000000e+001	0.33000							
X	3.999880e+006	4.000000e+006	4.000120e+006	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc-49usx.pdf	X1045-ND	ECS-40-20-4X	ECS Inc	1.500000e+002	2.000000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	1.999940e+007	2.000000e+007	2.000060e+007	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc_49us.pdf	X439-ND	ECS-200-20-4	ECS Inc	3.000000e+001	2.000000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	9.999700e+006	1.000000e+007	1.000030e+007	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc-49usx.pdf	X1080-ND	ECS-100-18-4X	ECS Inc	6.000000e+001	1.800000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	1.999940e+007	2.000000e+007	2.000060e+007	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc-49usx.pdf	X1076-ND	ECS-200-20-4X	ECS Inc	3.000000e+001	2.000000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	5.999820e+006	6.000000e+006	6.000180e+006	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc-49usx.pdf	X1053-ND	ECS-60-32-4X	ECS Inc	1.000000e+002	3.200000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	3.999880e+006	4.000000e+006	4.000120e+006	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc_49us.pdf	X405-ND	ECS-40-20-4	ECS Inc	1.500000e+002	2.000000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
X	1.599952e+007	1.600000e+007	1.600048e+007	-3.000000e-005	3.000000e-005	3	HC49/US	http://www.ecsxtal.com/store/pdf/hc-49usx.pdf	X1103-ND	ECS-160-20-4X	ECS Inc	4.000000e+001	2.000000e-011	±30ppm	Fundamental	-1.000000e+001	7.000000e+001	0.64000							
