"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Frequency","Frequency Stability","Frequency Tolerance","Load Capacitance","ESR (Equivalent Series Resistance)","Operating Mode","Operating Temperature","Ratings","Mounting Type","Package / Case","Size / Dimension","Height"
"http://www.ecsxtal.com/store/pdf/ECS-3x8.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-3X8X.jpg","X801-ND","ECS-3X8","ECS Inc","CRYSTAL 32.768KHZ 12.5PF THRU",14527,0,"0.33000",0,1,"Bulk","ECS-3X8","kHz Crystal (Tuning Fork)","32.768kHz","-","±20ppm","12.5pF","35 kOhm","Fundamental","-10°C ~ 60°C","-","Through Hole","Cylindrical Can, Radial","0.122"" Dia x 0.323"" L (3.10mm x 8.20mm)","0.323"" (8.20mm)"
"http://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-3X8X.jpg","X1123-ND","ECS-3X8X","ECS Inc","CRYSTAL 32.768KHZ 12.5PF THRU",12347,0,"0.33000",0,1,"Bulk","ECS-3X8X","kHz Crystal (Tuning Fork)","32.768kHz","-","±20ppm","12.5pF","35 kOhm","Fundamental","-10°C ~ 60°C","-","Through Hole","Cylindrical Can, Radial","0.122"" Dia x 0.323"" L (3.10mm x 8.20mm)","0.323"" (8.20mm)"
"http://www.ecsxtal.com/store/pdf/ECS-3x8X%202x6X%201X5X.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-.327-12.5-13X.jpg","X1124-ND","ECS-.327-12.5-13X","ECS Inc","CRYSTAL 32.768KHZ 12.5PF THRU",10624,0,"0.33000",0,1,"Bulk","ECS-2X6X","kHz Crystal (Tuning Fork)","32.768kHz","-","±20ppm","12.5pF","35 kOhm","Fundamental","-10°C ~ 60°C","-","Through Hole","Cylindrical Can, Radial","0.083"" Dia x 0.244"" L (2.10mm x 6.20mm)","0.244"" (6.20mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1045-ND","ECS-40-20-4X","ECS Inc","CRYSTAL 4MHZ 20PF THRU",14332,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","4MHz","±50ppm","±30ppm","20pF","150 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc_49us.pdf","http://media.digikey.com/photos/ECS%20Photos/HC-49US.jpg","X439-ND","ECS-200-20-4","ECS Inc","CRYSTAL 20MHZ 20PF THRU",7189,0,"0.64000",0,1,"Bulk","HC-49US","MHz Crystal","20MHz","±50ppm","±30ppm","20pF","30 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1080-ND","ECS-100-18-4X","ECS Inc","CRYSTAL 10MHZ 18PF THRU",6987,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","10MHz","±50ppm","±30ppm","18pF","60 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1076-ND","ECS-200-20-4X","ECS Inc","CRYSTAL 20MHZ 20PF THRU",6429,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","20MHz","±50ppm","±30ppm","20pF","30 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1053-ND","ECS-60-32-4X","ECS Inc","CRYSTAL 6MHZ 32PF THRU",6302,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","6MHz","±50ppm","±30ppm","32pF","100 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc_49us.pdf","http://media.digikey.com/photos/ECS%20Photos/HC-49US.jpg","X405-ND","ECS-40-20-4","ECS Inc","CRYSTAL 4MHZ 20PF THRU",5926,0,"0.64000",0,1,"Bulk","HC-49US","MHz Crystal","4MHz","±50ppm","±30ppm","20pF","150 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1103-ND","ECS-160-20-4X","ECS Inc","CRYSTAL 16MHZ 20PF THRU",5726,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","16MHz","±50ppm","±30ppm","20pF","40 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1100-ND","ECS-120-32-4X","ECS Inc","CRYSTAL 12MHZ 32PF THRU",5024,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","12MHz","±50ppm","±30ppm","32pF","60 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1094-ND","ECS-80-20-4X","ECS Inc","CRYSTAL 8MHZ 20PF THRU",4565,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","8MHz","±50ppm","±30ppm","20pF","80 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","XC1005-ND","ECS-240-12-4X","ECS Inc","CRYSTAL 24MHZ 12PF THRU",4323,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","24MHz","±50ppm","±30ppm","12pF","30 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1079-ND","ECS-240-20-4X","ECS Inc","CRYSTAL 24MHZ 20PF THRU",3906,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","24MHz","±50ppm","±30ppm","20pF","30 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
"http://www.ecsxtal.com/store/pdf/hc-49usx.pdf","http://media.digikey.com/photos/ECS%20Photos/ECS-200-20-4X.JPG","X1042-ND","ECS-36-18-4X","ECS Inc","CRYSTAL 3.6864MHZ 18PF THRU",5300,0,"0.64000",0,1,"Bulk","HC-49USX","MHz Crystal","3.6864MHz","±50ppm","±30ppm","18pF","200 Ohm","Fundamental","-10°C ~ 70°C","-","Through Hole","HC49/US","0.447"" L x 0.183"" W (11.35mm x 4.65mm)","0.138"" (3.50mm)"
