Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Current (A)	Q	DC Resistance (ohm)	Tolerance	Core Material	Price												
L	0.000000e+000	2.000000e-010	4.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9428-1-ND	MLG0402Q0N2CT000	TDK Corporation	3.500000e-001	-	1.000000e-001	±0.2nH	-	0.28000												
L	2.000000e-009	2.300000e-009	2.600000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9449-1-ND	MLG0402Q2N3ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	3.000000e-009	3.300000e-009	3.600000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9459-1-ND	MLG0402Q3N3ST000	TDK Corporation	1.800000e-001	2 @ 100MHz	1.100000e+000	±0.3nH	-	0.28000												
L	3.600000e-009	3.900000e-009	4.200000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9465-1-ND	MLG0402Q3N9ST000	TDK Corporation	1.800000e-001	2 @ 100MHz	1.200000e+000	±0.3nH	-	0.28000												
L	5.900000e-009	6.200000e-009	6.500000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9471-1-ND	MLG0402Q6N2ST000	TDK Corporation	1.400000e-001	2 @ 100MHz	1.500000e+000	±0.3nH	-	0.28000												
L	3.135000e-008	3.300000e-008	3.465000e-008	-5.000000e-002	5.000000e-002	2	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9482-1-ND	MLG0402Q33NJT000	TDK Corporation	1.200000e-001	3 @ 100MHz	3.800000e+000	±5%	-	0.28000												
L	1.000000e-010	3.000000e-010	5.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9429-1-ND	MLG0402Q0N3CT000	TDK Corporation	3.500000e-001	-	2.000000e-001	±0.2nH	-	0.28000												
L	2.000000e-010	4.000000e-010	6.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9430-1-ND	MLG0402Q0N4CT000	TDK Corporation	3.500000e-001	-	2.000000e-001	±0.2nH	-	0.28000												
L	3.000000e-010	5.000000e-010	7.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9431-1-ND	MLG0402Q0N5CT000	TDK Corporation	3.500000e-001	-	2.000000e-001	±0.2nH	-	0.28000												
L	4.000000e-010	6.000000e-010	8.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9432-1-ND	MLG0402Q0N6CT000	TDK Corporation	3.200000e-001	-	3.000000e-001	±0.2nH	-	0.28000												
L	5.000000e-010	7.000000e-010	9.000000e-010	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9433-1-ND	MLG0402Q0N7CT000	TDK Corporation	3.200000e-001	-	4.000000e-001	±0.2nH	-	0.28000												
L	6.000000e-010	8.000000e-010	1.000000e-009	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9434-1-ND	MLG0402Q0N8CT000	TDK Corporation	3.200000e-001	-	4.000000e-001	±0.2nH	-	0.28000												
L	7.000000e-010	9.000000e-010	1.100000e-009	-2.000000e-010	2.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9435-1-ND	MLG0402Q0N9CT000	TDK Corporation	3.200000e-001	-	4.000000e-001	±0.2nH	-	0.28000												
L	7.000000e-010	1.000000e-009	1.300000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9436-1-ND	MLG0402Q1N0ST000	TDK Corporation	2.500000e-001	2 @ 100MHz	4.000000e-001	±0.3nH	-	0.28000												
L	8.000000e-010	1.100000e-009	1.400000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9437-1-ND	MLG0402Q1N1ST000	TDK Corporation	2.500000e-001	2 @ 100MHz	5.000000e-001	±0.3nH	-	0.28000												
L	9.000000e-010	1.200000e-009	1.500000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9438-1-ND	MLG0402Q1N2ST000	TDK Corporation	2.500000e-001	2 @ 100MHz	5.000000e-001	±0.3nH	-	0.28000												
L	1.000000e-009	1.300000e-009	1.600000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9439-1-ND	MLG0402Q1N3ST000	TDK Corporation	2.500000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.100000e-009	1.400000e-009	1.700000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9440-1-ND	MLG0402Q1N4ST000	TDK Corporation	2.500000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.200000e-009	1.500000e-009	1.800000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9441-1-ND	MLG0402Q1N5ST000	TDK Corporation	2.200000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.300000e-009	1.600000e-009	1.900000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9442-1-ND	MLG0402Q1N6ST000	TDK Corporation	2.200000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.400000e-009	1.700000e-009	2.000000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9443-1-ND	MLG0402Q1N7ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.500000e-009	1.800000e-009	2.100000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9444-1-ND	MLG0402Q1N8ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.600000e-009	1.900000e-009	2.200000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9445-1-ND	MLG0402Q1N9ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.700000e-009	2.000000e-009	2.300000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9446-1-ND	MLG0402Q2N0ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	6.000000e-001	±0.3nH	-	0.28000												
L	1.800000e-009	2.100000e-009	2.400000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9447-1-ND	MLG0402Q2N1ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	7.000000e-001	±0.3nH	-	0.28000												
L	1.900000e-009	2.200000e-009	2.500000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9448-1-ND	MLG0402Q2N2ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.100000e-009	2.400000e-009	2.700000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9450-1-ND	MLG0402Q2N4ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.200000e-009	2.500000e-009	2.800000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9451-1-ND	MLG0402Q2N5ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.300000e-009	2.600000e-009	2.900000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9452-1-ND	MLG0402Q2N6ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.400000e-009	2.700000e-009	3.000000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9453-1-ND	MLG0402Q2N7ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.500000e-009	2.800000e-009	3.100000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9454-1-ND	MLG0402Q2N8ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.600000e-009	2.900000e-009	3.200000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9455-1-ND	MLG0402Q2N9ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.700000e-009	3.000000e-009	3.300000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9456-1-ND	MLG0402Q3N0ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	8.000000e-001	±0.3nH	-	0.28000												
L	2.800000e-009	3.100000e-009	3.400000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9457-1-ND	MLG0402Q3N1ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	9.000000e-001	±0.3nH	-	0.28000												
L	2.900000e-009	3.200000e-009	3.500000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9458-1-ND	MLG0402Q3N2ST000	TDK Corporation	2.000000e-001	2 @ 100MHz	1.000000e+000	±0.3nH	-	0.28000												
L	3.100000e-009	3.400000e-009	3.700000e-009	-3.000000e-010	3.000000e-010	0	01005 (0402 Metric)	http://www.tdk.co.jp/tefe02/e521_mlg_02.pdf	445-9460-1-ND	MLG0402Q3N4ST000	TDK Corporation	1.800000e-001	2 @ 100MHz	1.100000e+000	±0.3nH	-	0.28000												
