"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://www.tdk.co.jp/tefe02/e533_mlz.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805-MLZ.jpg","445-6396-1-ND","MLZ2012M100WT000","TDK Corporation","INDUCTOR MULTILAYER 10UH 0805",90535,0,"0.11000",0,1,"Cut Tape (CT)","MLZ","Multilayer","Ferrite","10µH","±20%","350mA","200mA","Shielded","470 mOhm","-","50MHz","-55°C ~ 125°C","2MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e533_mlz.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805-MLZ.jpg","445-6400-1-ND","MLZ2012M470WT000","TDK Corporation","INDUCTOR MULTILAYER 47UH 0805",42540,0,"0.11000",0,1,"Cut Tape (CT)","MLZ","Multilayer","Ferrite","47µH","±20%","170mA","50mA","Shielded","3.7 Ohm","-","20MHz","-55°C ~ 125°C","2MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e521_mlg.pdf","http://media.digikey.com/Renders/TDK%20Renders/0603-MLZ.jpg","445-1500-1-ND","MLG1608B47NJT000","TDK Corporation","INDUCTOR MULTILAYER 47NH 0603",137185,0,"0.14000",0,1,"Cut Tape (CT)","MLG","Multilayer","Ceramic","47nH","±5%","400mA","-","Unshielded","600 mOhm Max","14 @ 100MHz","1.4GHz","-55°C ~ 125°C","100MHz","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.037"" (0.95mm)","0603 (1608 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1051-1-ND","MLF2012A2R2KT000","TDK Corporation","INDUCTOR MULTILAYER 2.2UH 0805",60642,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","2.2µH","±10%","50mA","-","Shielded","500 mOhm Max","45 @ 10MHz","80MHz","-40°C ~ 85°C","10MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1047-1-ND","MLF2012A1R0KT000","TDK Corporation","INDUCTOR MULTILAYER 1UH 0805",43785,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","1µH","±10%","80mA","-","Shielded","300 mOhm Max","45 @ 10MHz","120MHz","-40°C ~ 85°C","10MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1044-1-ND","MLF2012DR56KT000","TDK Corporation","INDUCTOR MULTILAYER 0.56UH 0805",22132,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","560nH","±10%","150mA","-","Shielded","550 mOhm Max","25 @ 25MHz","150MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.057"" (1.45mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e533_mlz.pdf","http://media.digikey.com/Renders/Kemet%20Renders/399-9582-2-ND.jpg","445-6379-1-ND","MLZ1005M1R0WT000","TDK Corporation","INDUCTOR MULTILAYER 1.0UH 0402",101806,0,"0.22000",0,1,"Cut Tape (CT)","MLZ","Multilayer","Ferrite","1µH","±20%","450mA","100mA","Shielded","350 mOhm","-","170MHz","-55°C ~ 125°C","2MHz","Surface Mount","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","0402 (1005 Metric)"
"http://www.tdk.co.jp/tefe02/e533_mlz.pdf","http://media.digikey.com/Renders/Kemet%20Renders/399-9582-2-ND.jpg","445-6381-1-ND","MLZ1005M2R2WT000","TDK Corporation","INDUCTOR MULTILAYER 2.2UH 0402",90880,0,"0.22000",0,1,"Cut Tape (CT)","MLZ","Multilayer","Ferrite","2.2µH","±20%","350mA","60mA","Shielded","550 mOhm","-","120MHz","-55°C ~ 125°C","2MHz","Surface Mount","0402 (1005 Metric)","0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)","0402 (1005 Metric)"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/GLFR%20Series.pdf","http://media.digikey.com/Renders/Murata%20Renders/0603%28GCM188%29.jpg","445-3608-1-ND","GLFR1608T100M-LR","TDK Corporation","INDUCTOR 10UH 80MA 20% 0603",85405,0,"0.22000",0,1,"Cut Tape (CT)","GLFR","Wirewound","-","10µH","±20%","400mA","80mA","Shielded","360 mOhm","-","-","-40°C ~ 105°C","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.039"" (1.00mm)","0603 (1608 Metric)"
"http://media.digikey.com/pdf/Data%20Sheets/TDK%20PDFs/GLFR%20Series.pdf","http://media.digikey.com/Renders/Murata%20Renders/0603%28GCM188%29.jpg","445-6150-1-ND","GLFR1608T101M-LR","TDK Corporation","INDUCTOR 100UH 25MA 20% 0603",14647,0,"0.22000",0,1,"Cut Tape (CT)","GLFR","Wirewound","-","100µH","±20%","80mA","15mA","Shielded","5.5 Ohm","-","-","-40°C ~ 105°C","-","Surface Mount","0603 (1608 Metric)","0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.039"" (1.00mm)","0603 (1608 Metric)"
