"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (EUR)","@ qty","Minimum Quantity","Packaging","Series","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)","Supplier Device Package"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1032-1-ND","MLF2012D47NMT000","TDK Corporation","INDUCTOR MULTILAYER 0.047UH 0805",20049,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","47nH","±20%","300mA","-","Shielded","100 mOhm Max","15 @ 50MHz","550MHz","-40°C ~ 85°C","50MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1034-1-ND","MLF2012D82NMT000","TDK Corporation","INDUCTOR MULTILAYER 0.082UH 0805",0,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","82nH","±20%","300mA","-","Shielded","150 mOhm Max","15 @ 50MHz","450MHz","-40°C ~ 85°C","50MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1035-1-ND","MLF2012DR10KT000","TDK Corporation","INDUCTOR MULTILAYER 0.1UH 0805",20502,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","100nH","±10%","300mA","-","Shielded","150 mOhm Max","20 @ 25MHz","400MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-8983-1-ND","MLF2012DR10M","TDK Corporation","INDUCTOR MULTILAYER .10UH 0805",6824,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","100nH","±20%","300mA","-","Shielded","150 mOhm Max","20 @ 25MHz","400MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e533_mlz.pdf","http://media.digikey.com/Renders/TDK%20Renders/0805-MLZ.jpg","445-6395-1-ND","MLZ2012DR10DT000","TDK Corporation","INDUCTOR MULTILAYER 0.1UH 0805",1264,0,"0.10000",0,1,"Cut Tape (CT)","MLZ","Multilayer","Ferrite","100nH","±20%","1.15A","1A","Shielded","70 mOhm","-","500MHz","-55°C ~ 125°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1036-1-ND","MLF2012DR12KT000","TDK Corporation","INDUCTOR MULTILAYER 0.12UH 0805",9025,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","120nH","±10%","300mA","-","Shielded","200 mOhm Max","20 @ 25MHz","360MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-8984-1-ND","MLF2012DR12M","TDK Corporation","INDUCTOR MULTILAYER .12UH 0805",6461,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","120nH","±20%","300mA","-","Shielded","200 mOhm Max","20 @ 25MHz","360MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-1037-1-ND","MLF2012DR15KT000","TDK Corporation","INDUCTOR MULTILAYER 0.15UH 0805",14295,0,"0.16000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","150nH","±10%","300mA","-","Shielded","200 mOhm Max","20 @ 25MHz","320MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-8985-1-ND","MLF2012DR15M","TDK Corporation","INDUCTOR MULTILAYER .15UH 0805",11274,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","150nH","±20%","300mA","-","Shielded","200 mOhm Max","20 @ 25MHz","320MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
"http://www.tdk.co.jp/tefe02/e511_mlf_02.pdf","http://media.digikey.com/photos/TDK%20Photos/MLF2012%20SERIES.jpg","445-8986-1-ND","MLF2012DR18M","TDK Corporation","INDUCTOR MULTILAYER .18UH 0805",15732,0,"0.14000",0,1,"Cut Tape (CT)","MLF","Multilayer","Ferrite","180nH","±20%","300mA","-","Shielded","250 mOhm Max","20 @ 25MHz","280MHz","-40°C ~ 85°C","25MHz","Surface Mount","0805 (2012 Metric)","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.041"" (1.05mm)","0805 (2012 Metric)"
