Reference	Value (lower bound)	Value	Value (upper bound)	Tolerance (lower bound)	Tolerance (upper bound)	rel. tol?	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Power (W)	Tolerance	Temperature Coefficent	Price								
R	nan	0.000000e+000	nan	nan	nan	0	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402ZT0R00CT-ND	RMCF0402ZT0R00	Stackpole Electronics Inc	6.300000e-002	Jumper	-	0.02000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	0603	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0603ZT0R00CT-ND	RMCF0603ZT0R00	Stackpole Electronics Inc	1.000000e-001	Jumper	-	0.02000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	0805	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0805ZT0R00CT-ND	RMCF0805ZT0R00	Stackpole Electronics Inc	1.250000e-001	Jumper	-	0.03000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	1206	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1206ZT0R00CT-ND	RMCF1206ZT0R00	Stackpole Electronics Inc	2.500000e-001	Jumper	-	0.05000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	1206	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1206ZG0R00CT-ND	RMCF1206ZG0R00	Stackpole Electronics Inc	2.500000e-001	Jumper	-	0.13000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	2010	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF2010ZT0R00CT-ND	RMCF2010ZT0R00	Stackpole Electronics Inc	7.500000e-001	Jumper	-	0.33000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201ZT0R00CT-ND	RMCF0201ZT0R00	Stackpole Electronics Inc	5.000000e-002	Jumper	-	0.12000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	2512	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF2512ZT0R00CT-ND	RMCF2512ZT0R00	Stackpole Electronics Inc	1.000000e+000	Jumper	-	0.44000	~	~						
R	nan	0.000000e+000	nan	nan	nan	0	1210	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1210ZT0R00CT-ND	RMCF1210ZT0R00	Stackpole Electronics Inc	5.000000e-001	Jumper	-	0.21000	~	~						
R	7.125000e+000	7.500000e+000	7.875000e+000	-5.000000e-002	5.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201JT7R50CT-ND	RMCF0201JT7R50	Stackpole Electronics Inc	5.000000e-002	±5%	±400ppm/°C	0.10000	~	~						
R	4.653000e+001	4.700000e+001	4.747000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT47R0CT-ND	RMCF0201FT47R0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	4.702500e+002	4.750000e+002	4.797500e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT475RCT-ND	RMCF0201FT475R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	1.485000e+003	1.500000e+003	1.515000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT1K50CT-ND	RMCF0201FT1K50	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	3.286800e+001	3.320000e+001	3.353200e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT33R2CT-ND	RMCF0201FT33R2	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	2.376000e+002	2.400000e+002	2.424000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT240RCT-ND	RMCF0201FT240R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	2.178000e+003	2.200000e+003	2.222000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT2K20CT-ND	RMCF0201FT2K20	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	2.465100e+002	2.490000e+002	2.514900e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT249RCT-ND	RMCF0201FT249R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	2.970000e+003	3.000000e+003	3.030000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT3K00CT-ND	RMCF0201FT3K00	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	2.673000e+002	2.700000e+002	2.727000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT270RCT-ND	RMCF0201FT270R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	1.485000e+002	1.500000e+002	1.515000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT150RCT-ND	RMCF0201FT150R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	4.653000e+001	4.700000e+001	4.747000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT47K0CT-ND	RMCF0201FT47K0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	9.900000e+000	1.000000e+001	1.010000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT10R0CT-ND	RMCF0201FT10R0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	9.900000e+002	1.000000e+003	1.010000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT1K00CT-ND	RMCF0201FT1K00	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	4.940100e+001	4.990000e+001	5.039900e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT49R9CT-ND	RMCF0201FT49R9	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	1.485000e+001	1.500000e+001	1.515000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT15R0CT-ND	RMCF0201FT15R0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	1.287000e+002	1.300000e+002	1.313000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT130RCT-ND	RMCF0201FT130R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	4.940100e+004	4.990000e+004	5.039900e+004	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT49K9CT-ND	RMCF0201FT49K9	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	5.563800e+004	5.620000e+004	5.676200e+004	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT56K2CT-ND	RMCF0201FT56K2	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	2.979900e+003	3.010000e+003	3.040100e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT3K01CT-ND	RMCF0201FT3K01	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	3.286800e+004	3.320000e+004	3.353200e+004	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT33K2CT-ND	RMCF0201FT33K2	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	3.979800e+003	4.020000e+003	4.060200e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT4K02CT-ND	RMCF0201FT4K02	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	4.940100e+003	4.990000e+003	5.039900e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT4K99CT-ND	RMCF0201FT4K99	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	9.900000e+005	1.000000e+006	1.010000e+006	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT1M00CT-ND	RMCF0201FT1M00	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	7.425000e+001	7.500000e+001	7.575000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT75K0CT-ND	RMCF0201FT75K0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	3.286800e+003	3.320000e+003	3.353200e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT3K32CT-ND	RMCF0201FT3K32	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	4.940100e+002	4.990000e+002	5.039900e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT499RCT-ND	RMCF0201FT499R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	3.128400e+004	3.160000e+004	3.191600e+004	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT31K6CT-ND	RMCF0201FT31K6	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.11000	~	~						
R	1.485000e+001	1.500000e+001	1.515000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT15K0CT-ND	RMCF0201FT15K0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	9.900000e+000	1.000000e+001	1.010000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT10K0CT-ND	RMCF0201FT10K0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	4.653000e+003	4.700000e+003	4.747000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT4K70CT-ND	RMCF0201FT4K70	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	1.980000e+001	2.000000e+001	2.020000e+001	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT20K0CT-ND	RMCF0201FT20K0	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	5.058900e+003	5.110000e+003	5.161100e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT5K11CT-ND	RMCF0201FT5K11	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	4.702500e+003	4.750000e+003	4.797500e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT4K75CT-ND	RMCF0201FT4K75	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	9.900000e+001	1.000000e+002	1.010000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT100RCT-ND	RMCF0201FT100R	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.18000	~	~						
R	9.900000e+001	1.000000e+002	1.010000e+002	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT100KCT-ND	RMCF0201FT100K	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	1.980000e+003	2.000000e+003	2.020000e+003	-1.000000e-002	1.000000e-002	2	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201FT2K00CT-ND	RMCF0201FT2K00	Stackpole Electronics Inc	5.000000e-002	±1%	±200ppm/°C	0.12000	~	~						
R	2.178000e+000	2.200000e+000	2.222000e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2R20CT-ND	RMCF0402FT2R20	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	2.712600e+000	2.740000e+000	2.767400e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2R74CT-ND	RMCF0402FT2R74	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	3.880800e+000	3.920000e+000	3.959200e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT3R92CT-ND	RMCF0402FT3R92	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	5.058900e+000	5.110000e+000	5.161100e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT5R11CT-ND	RMCF0402FT5R11	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	5.435100e+000	5.490000e+000	5.544900e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT5R49CT-ND	RMCF0402FT5R49	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	4.653000e+000	4.700000e+000	4.747000e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT4R70CT-ND	RMCF0402FT4R70	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	4.940100e+000	4.990000e+000	5.039900e+000	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT4R99CT-ND	RMCF0402FT4R99	Stackpole Electronics Inc	6.300000e-002	±1%	±200ppm/°C	0.10000	~	~						
R	9.900000e+000	1.000000e+001	1.010000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT10K0CT-ND	RMCF0402FT10K0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.633500e+002	1.650000e+002	1.666500e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT165RCT-ND	RMCF0402FT165R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	9.900000e+002	1.000000e+003	1.010000e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT1K00CT-ND	RMCF0402FT1K00	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	6.910200e+001	6.980000e+001	7.049800e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT69R8CT-ND	RMCF0402FT69R8	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	4.940100e+001	4.990000e+001	5.039900e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT49R9CT-ND	RMCF0402FT49R9	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.980000e+003	2.000000e+003	2.020000e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2K00CT-ND	RMCF0402FT2K00	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	9.900000e+001	1.000000e+002	1.010000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT100RCT-ND	RMCF0402FT100R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	9.900000e+000	1.000000e+001	1.010000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT10R0CT-ND	RMCF0402FT10R0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	4.940100e+003	4.990000e+003	5.039900e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT4K99CT-ND	RMCF0402FT4K99	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	3.445200e+003	3.480000e+003	3.514800e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT3K48CT-ND	RMCF0402FT3K48	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.603800e+002	1.620000e+002	1.636200e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT162KCT-ND	RMCF0402FT162K	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.762200e+002	1.780000e+002	1.797800e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT178RCT-ND	RMCF0402FT178R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.722600e+003	1.740000e+003	1.757400e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT1K74CT-ND	RMCF0402FT1K74	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.801800e+003	1.820000e+003	1.838200e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT1K82CT-ND	RMCF0402FT1K82	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	1.980000e+001	2.000000e+001	2.020000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT20R0CT-ND	RMCF0402FT20R0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	7.791300e+003	7.870000e+003	7.948700e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT7K87CT-ND	RMCF0402FT7K87	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	4.940100e+004	4.990000e+004	5.039900e+004	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT49K9CT-ND	RMCF0402FT49K9	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.673000e+002	2.700000e+002	2.727000e+002	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT270RCT-ND	RMCF0402FT270R	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	3.267000e+001	3.300000e+001	3.333000e+001	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT33K0CT-ND	RMCF0402FT33K0	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.712600e+003	2.740000e+003	2.767400e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT2K74CT-ND	RMCF0402FT2K74	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
R	2.979900e+003	3.010000e+003	3.040100e+003	-1.000000e-002	1.000000e-002	2	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402FT3K01CT-ND	RMCF0402FT3K01	Stackpole Electronics Inc	6.300000e-002	±1%	±100ppm/°C	0.04000	~	~						
