"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FG4R75CT-ND","RMCF0805FG4R75","Stackpole Electronics Inc","RES 4.75 OHM 1/8W 1% 0805",20000,0,"0.10000",0,1,"Cut Tape (CT)","RMCF","4.75","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT4R99CT-ND","RMCF0805FT4R99","Stackpole Electronics Inc","RES 4.99 OHM 1/8W 1% 0805",61963,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","4.99","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT1R00CT-ND","RMCF0805FT1R00","Stackpole Electronics Inc","RES 1 OHM 1/8W 1% 0805",37995,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","1","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT5R60CT-ND","RMCF0805FT5R60","Stackpole Electronics Inc","RES 5.6 OHM 1/8W 1% 0805",28875,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","5.6","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT6R81CT-ND","RMCF0805FT6R81","Stackpole Electronics Inc","RES 6.81 OHM 1/8W 1% 0805",15084,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","6.81","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FKR500CT-ND","CSR0805FKR500","Stackpole Electronics Inc","RES 0.5 OHM 1/4W 1% 0805",33927,0,"0.44000",0,1,"Cut Tape (CT)","CSR","0.5","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FKR250CT-ND","CSR0805FKR250","Stackpole Electronics Inc","RES 0.25 OHM 1/4W 1% 0805",14628,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.25","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FKR100CT-ND","CSR0805FKR100","Stackpole Electronics Inc","RES 0.1 OHM 1/4W 1% 0805",4146,0,"0.56000",0,1,"Cut Tape (CT)","CSR","0.1","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FTR499CT-ND","RMCF0805FTR499","Stackpole Electronics Inc","RES 0.499 OHM 1/8W 1% 0805",10000,0,"0.81000",0,1,"Cut Tape (CT)","RMCF","0.499","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK75L0CT-ND","CSR0805FK75L0","Stackpole Electronics Inc","RES 0.075 OHM 1/4W 1% 0805",4755,0,"0.84000",0,1,"Cut Tape (CT)","CSR","0.075","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK25L0CT-ND","CSR0805FK25L0","Stackpole Electronics Inc","RES 0.025 OHM 1/4W 1% 0805",10677,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.025","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK30L0CT-ND","CSR0805FK30L0","Stackpole Electronics Inc","RES 0.03 OHM 1/4W 1% 0805",4663,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.03","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/catalog/SEI-CSR_CSRN.pdf","http://media.digikey.com/Renders/Stackpole%20Renders/0805.jpg","CSR0805FK50L0CT-ND","CSR0805FK50L0","Stackpole Electronics Inc","RES 0.05 OHM 1/4W 1% 0805",2375,0,"0.78000",0,1,"Cut Tape (CT)","CSR","0.05","±1%","0.25W, 1/4W","Thick Film","Current Sense","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT5R62CT-ND","RMCF0805FT5R62","Stackpole Electronics Inc","RES 5.62 OHM 1/8W 1% 0805",14727,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","5.62","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT6R65CT-ND","RMCF0805FT6R65","Stackpole Electronics Inc","RES 6.65 OHM 1/8W 1% 0805",14022,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","6.65","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF0805FT9R09CT-ND","RMCF0805FT9R09","Stackpole Electronics Inc","RES 9.09 OHM 1/8W 1% 0805",11648,0,"0.04000",0,1,"Cut Tape (CT)","RMCF","9.09","±1%","0.125W, 1/8W","Thick Film","-","±200ppm/°C","0805 (2012 Metric)","0805","0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.026"" (0.65mm)","2"
