"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT1K00CT-ND","RMCF1210FT1K00","Stackpole Electronics Inc","RES 1K OHM 1/3W 1% 1210",18307,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","1k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT130RCT-ND","RMCF1210FT130R","Stackpole Electronics Inc","RES 130 OHM 1/3W 1% 1210",46979,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","130","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT332RCT-ND","RMCF1210FT332R","Stackpole Electronics Inc","RES 332 OHM 1/3W 1% 1210",15695,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","332","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT10R0CT-ND","RMCF1210FT10R0","Stackpole Electronics Inc","RES 10 OHM 1/3W 1% 1210",11831,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","10","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT68K1CT-ND","RMCF1210FT68K1","Stackpole Electronics Inc","RES 68.1K OHM 1/3W 1% 1210",11812,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","68.1k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT61R9CT-ND","RMCF1210FT61R9","Stackpole Electronics Inc","RES 61.9 OHM 1/3W 1% 1210",11350,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","61.9","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT100KCT-ND","RMCF1210FT100K","Stackpole Electronics Inc","RES 100K OHM 1/3W 1% 1210",10786,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","100k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT47K5CT-ND","RMCF1210FT47K5","Stackpole Electronics Inc","RES 47.5K OHM 1/3W 1% 1210",8363,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","47.5k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT187KCT-ND","RMCF1210FT187K","Stackpole Electronics Inc","RES 187K OHM 1/3W 1% 1210",8000,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","187k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/photos/Stackpole%20Photos/MFG_RMC%20SERIES.jpg","RMCF1210FT280KCT-ND","RMCF1210FT280K","Stackpole Electronics Inc","RES 280K OHM 1/3W 1% 1210",8000,0,"0.22000",0,1,"Cut Tape (CT)","RMCF","280k","±1%","0.333W, 1/3W","Thick Film","-","±100ppm/°C","1210 (3225 Metric)","1210","0.126"" L x 0.098"" W (3.20mm x 2.50mm)","0.028"" (0.70mm)","2"
