"Datasheets","Image","Digi-Key Part Number","Manufacturer Part Number","Manufacturer","Description","Quantity Available","Factory Stock","Unit Price (USD)","@ qty","Minimum Quantity","Packaging","Series","Resistance (Ohms)","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Package / Case","Supplier Device Package","Size / Dimension","Height","Number of Terminations"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT60R4CT-ND","RMCF2512FT60R4","Stackpole Electronics Inc","RES 60.4 OHM 1W 1% 2512",39400,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","60.4","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT182RCT-ND","RMCF2512FT182R","Stackpole Electronics Inc","RES 182 OHM 1W 1% 2512",12000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","182","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT1M00CT-ND","RMCF2512FT1M00","Stackpole Electronics Inc","RES 1M OHM 1W 1% 2512",8367,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","1M","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT237RCT-ND","RMCF2512FT237R","Stackpole Electronics Inc","RES 237 OHM 1W 1% 2512",9162,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","237","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT499RCT-ND","RMCF2512FT499R","Stackpole Electronics Inc","RES 499 OHM 1W 1% 2512",9212,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","499","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT140RCT-ND","RMCF2512FT140R","Stackpole Electronics Inc","RES 140 OHM 1W 1% 2512",8000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","140","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT16K2CT-ND","RMCF2512FT16K2","Stackpole Electronics Inc","RES 16.2K OHM 1W 1% 2512",8000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","16.2k","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT19R1CT-ND","RMCF2512FT19R1","Stackpole Electronics Inc","RES 19.1 OHM 1W 1% 2512",8000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","19.1","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT1K02CT-ND","RMCF2512FT1K02","Stackpole Electronics Inc","RES 1.02K OHM 1W 1% 2512",8000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","1.02k","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
"http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","http://media.digikey.com/Photos/Stackpole%20Photos/2512%20(6432%20Metric).jpg","RMCF2512FT1K78CT-ND","RMCF2512FT1K78","Stackpole Electronics Inc","RES 1.78K OHM 1W 1% 2512",8000,0,"0.55000",0,1,"Cut Tape (CT)","RMCF","1.78k","±1%","1W","Thick Film","-","±100ppm/°C","2512 (6432 Metric)","2512","0.248"" L x 0.126"" W (6.30mm x 3.20mm)","0.028"" (0.70mm)","2"
