Reference	Value	Footprint	Datasheets	Digi-Key Part Number	Manufacturer Part Number	Manufacturer	Power (W)	Tolerance	Price	Temperature Coefficent													
R	0.000000	0402	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0402ZT0R00CT-ND	RMCF0402ZT0R00	Stackpole Electronics Inc	0.063000	Jumper	0.02000	-	~												
R	0.000000	0603	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0603ZT0R00CT-ND	RMCF0603ZT0R00	Stackpole Electronics Inc	0.100000	Jumper	0.02000	-	~												
R	0.000000	0805	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0805ZT0R00CT-ND	RMCF0805ZT0R00	Stackpole Electronics Inc	0.125000	Jumper	0.03000	-	~												
R	0.000000	1206	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1206ZT0R00CT-ND	RMCF1206ZT0R00	Stackpole Electronics Inc	0.250000	Jumper	0.05000	-	~												
R	0.000000	1206	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1206ZG0R00CT-ND	RMCF1206ZG0R00	Stackpole Electronics Inc	0.250000	Jumper	0.13000	-	~												
R	0.000000	2010	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF2010ZT0R00CT-ND	RMCF2010ZT0R00	Stackpole Electronics Inc	0.750000	Jumper	0.33000	-	~												
R	0.000000	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201ZT0R00CT-ND	RMCF0201ZT0R00	Stackpole Electronics Inc	0.050000	Jumper	0.12000	-	~												
R	0.000000	2512	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF2512ZT0R00CT-ND	RMCF2512ZT0R00	Stackpole Electronics Inc	1.000000	Jumper	0.44000	-	~												
R	0.000000	1210	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF1210ZT0R00CT-ND	RMCF1210ZT0R00	Stackpole Electronics Inc	0.500000	Jumper	0.21000	-	~												
R	7.000000	0201	http://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf	RMCF0201JT7R50CT-ND	RMCF0201JT7R50	Stackpole Electronics Inc	0.050000	±5%	0.10000	±400ppm/°C	~												
